"OEC ID";"SITC ID";"Product Level";"Product Name"
"10";"10";"Category";"Machinery"
"105";"10.5";"Section";"Chemicals and related products, n.e.s."
"1057";"10.57";"Division";"Explosives and pyrotechnic products"
"10572";"10.57.2";"Group";"Explosives and pyrotechnic products"
"105722";"10.57.22";"Subgroup";"Initiating Devices"
"1058";"10.58";"Division";"Artificial resins and plastic materials, and cellulose esters and ethers"
"10583";"10.58.3";"Group";"Polymerization and copolymerization products (e.g., polyethylene, plytetrahaloethylenes, polyisobutylene, plystyrene, plyvinyl chloride, polyvinyl acetate, plyvinyl chloroacetate and other plyvinyl derivatives, plyacrylic and plymethacrylic derivatives, coumarone-indene resins)"
"105838";"10.58.38";"Subgroup";"Polymerization Ion Exchangers"
"106";"10.6";"Section";"Manufactured goods classified chiefly by material"
"1062";"10.62";"Division";"Rubber manufactures, n.e.s."
"10625";"10.62.5";"Group";"Rubber tyres, tyre cases, interchangeable tyre treads, inner tubes and tyre flaps, for wheels of all kinds"
"106250";"10.62.50";"Subgroup";"Rubber tires, tire cases, inner and flaps, for wheels of all kinds"
"106251";"10.62.51";"Subgroup";"Car Tires"
"10628";"10.62.8";"Group";"Articles of rubber, n.e.s."
"106280";"10.62.80";"Subgroup";"Other articles of rubber"
"106282";"10.62.82";"Subgroup";"Transmission Belts"
"106289";"10.62.89";"Subgroup";"Miscellaneous Rubber"
"1063";"10.63";"Division";"Cork and wood, cork manufactures (excluding furniture)"
"10635";"10.63.5";"Group";"Wood manufactures, n.e.s."
"106352";"10.63.52";"Subgroup";"Casks and Barrels"
"1064";"10.64";"Division";"Paper, paperboard, and articles of pulp, of paper or of paperboard"
"10641";"10.64.1";"Group";"Paper and paperboard"
"106418";"10.64.18";"Subgroup";"Coated Paper"
"1065";"10.65";"Division";"Textile yarn, fabrics, made-up articles, n.e.s., and related products"
"10657";"10.65.7";"Group";"Special textile fabrics and related products"
"106572";"10.65.72";"Subgroup";"Bonded Fiber Fabrics"
"106577";"10.65.77";"Subgroup";"Textiles Fabrics for Machinery"
"1066";"10.66";"Division";"Non-metallic mineral manufactures, n.e.s."
"10663";"10.66.3";"Group";"Mineral manufactures, n.e.s."
"106631";"10.66.31";"Subgroup";"Polishing Stones"
"106632";"10.66.32";"Subgroup";"Abrasive Powder"
"10664";"10.66.4";"Group";"Glass"
"106645";"10.66.45";"Subgroup";"Unworked Cast Glass"
"106647";"10.66.47";"Subgroup";"Safety Glass"
"1067";"10.67";"Division";"Iron and steel"
"10673";"10.67.3";"Group";"Iron and steel bars, rods, angles, shapes and sections (including sheet piling)"
"106731";"10.67.31";"Subgroup";"Iron Wire"
"10676";"10.67.6";"Group";"Rails and railway track construction material, of iron or steel"
"106760";"10.67.60";"Subgroup";"Metal Railway Material"
"10678";"10.67.8";"Group";"Tube, pipes and fittings, of iron or steel"
"106781";"10.67.81";"Subgroup";"Iron Pipes"
"106782";"10.67.82";"Subgroup";"Seamless Iron Tubes"
"106784";"10.67.84";"Subgroup";"High-pressure hydro-electric conduits of steel, whether or not reinforced"
"106785";"10.67.85";"Subgroup";"Iron Tubes"
"10679";"10.67.9";"Group";"Iron and steel castings, forgings and stampings, in the rough state, n.e.s."
"106793";"10.67.93";"Subgroup";"Iron and Steel Forging"
"1068";"10.68";"Division";"Non-ferrous metals"
"10683";"10.68.3";"Group";"Nickel"
"106832";"10.68.32";"Subgroup";"Worked Nickel"
"1069";"10.69";"Division";"Manufactures of metals, n.e.s."
"10694";"10.69.4";"Group";"Nails, screws, nuts, bolts, rivets and the like, of iron, steel or copper"
"106940";"10.69.40";"Subgroup";"Fasteners"
"10695";"10.69.5";"Group";"Tools for use in the hand or in machines"
"106950";"10.69.50";"Subgroup";"Tools for use in machines or by hand"
"106954";"10.69.54";"Subgroup";"Interchangeable Tool Parts"
"10697";"10.69.7";"Group";"Household equipment of base metal, n.e.s."
"106975";"10.69.75";"Subgroup";"Miscellaneous Indoors Sanitary Ware of Base Metal"
"10699";"10.69.9";"Group";"Manufactures of base metal, n.e.s."
"106991";"10.69.91";"Subgroup";"Locksmith Hardware"
"106992";"10.69.92";"Subgroup";"Metal Chains"
"106994";"10.69.94";"Subgroup";"Metal Springs"
"107";"10.7";"Section";"Machinery and transport equipment"
"1070";"10.70";"Division";"Machinery and transport equipment"
"10700";"10.70.0";"Group";"Machinery and transport equipment"
"107000";"10.70.00";"Subgroup";"Machinery and transport equipment"
"1071";"10.71";"Division";"Power generating machinery and equipment"
"10710";"10.71.0";"Group";"Power generating machinery and equipment"
"107100";"10.71.00";"Subgroup";"Power generating machinery and equipment"
"10712";"10.71.2";"Group";"Steam and other vapour power units, not incorporating boilers; steam engines (including mobile engines, but not steam tractors falling within heading 722 or mechanically propelled road rollers) with self-contained boilers; and parts thereof, n.e.s."
"107120";"10.71.20";"Subgroup";"Steam engines, turbines"
"107126";"10.71.26";"Subgroup";"Steam Power Units"
"107129";"10.71.29";"Subgroup";"Miscellaneous Parts of Steam Power Units"
"10713";"10.71.3";"Group";"Internal combustion piston engines, and parts thereof, n.e.s."
"107130";"10.71.30";"Subgroup";"Internal combustion piston engines and parts"
"107132";"10.71.32";"Subgroup";"Motor Vehicles Piston Engines"
"107133";"10.71.33";"Subgroup";"Internal Combustion Engines for Boats"
"107138";"10.71.38";"Subgroup";"Miscellaneous Combustion Engines"
"107139";"10.71.39";"Subgroup";"Piston Engine Parts"
"10714";"10.71.4";"Group";"Engines and motors, non-electric (other than those of groups 712, 713 and 718); parts, n.e.s. of the engines and motors of group 714 and item 718.88"
"107140";"10.71.40";"Subgroup";"Non-electric engines and motors"
"10716";"10.71.6";"Group";"Rotating electric plant and parts thereof, n.e.s."
"107160";"10.71.60";"Subgroup";"Rotating electric plant and parts thereof, nes"
"107161";"10.71.61";"Subgroup";"DC Motors"
"107162";"10.71.62";"Subgroup";"Electric Motors and AC Generators"
"107163";"10.71.63";"Subgroup";"Rotary Converters"
"107169";"10.71.69";"Subgroup";"Miscellaneous Rotating Electric Plant Parts"
"10718";"10.71.8";"Group";"Other power generating machinery and parts thereof, n.e.s."
"107187";"10.71.87";"Subgroup";"Nuclear Reactors"
"107188";"10.71.88";"Subgroup";"Miscellaneous Engines"
"1072";"10.72";"Division";"Machinery specialized for particular industries"
"10720";"10.72.0";"Group";"Machinery specialized for particular industries"
"107200";"10.72.00";"Subgroup";"Machinery specialized for specific industries"
"10721";"10.72.1";"Group";"Agricultural machinery (excluding tractors) and parts thereof, n.e.s."
"107210";"10.72.10";"Subgroup";"Agricultural machinery (excluding tractors) and parts thereof, nes"
"107211";"10.72.11";"Subgroup";"Soil Preparation Machinery"
"107212";"10.72.12";"Subgroup";"Harvesting Machines"
"107213";"10.72.13";"Subgroup";"Dairy Machinery"
"107219";"10.72.19";"Subgroup";"Miscellaneous Agricultural Machinery"
"10722";"10.72.2";"Group";"Tractors (other than those falling within headings 744.11 and 783.2), whether or not fitted with power rake-offs, winches or pulleys"
"107220";"10.72.20";"Subgroup";"Non-road tractors"
"107223";"10.72.23";"Subgroup";"Track Laying Tractors"
"107224";"10.72.24";"Subgroup";"Tractors"
"10723";"10.72.3";"Group";"Civil engineering and contractors' plant and equipment and parts thereof, n.e.s."
"107230";"10.72.30";"Subgroup";"Civil engineering equipment"
"107233";"10.72.33";"Subgroup";"Road Rollers"
"107234";"10.72.34";"Subgroup";"Construction Machinery"
"107239";"10.72.39";"Subgroup";"Miscellaneous Machinery"
"10724";"10.72.4";"Group";"Textile and leather machinery, and parts thereof, n.e.s."
"107240";"10.72.40";"Subgroup";"Textile and leather machinery"
"107243";"10.72.43";"Subgroup";"Sewing Machinery"
"107244";"10.72.44";"Subgroup";"Textile Machinery"
"107245";"10.72.45";"Subgroup";"Yarn Preparing Machines"
"107246";"10.72.46";"Subgroup";"Auxiliary Weaving Machinery"
"107247";"10.72.47";"Subgroup";"Miscellaneous Textile Machinery"
"10725";"10.72.5";"Group";"Paper mill and pulp mill machinery, paper cutting machines and other machinery for the manufacture of paper articles; and parts thereof, n.e.s."
"107250";"10.72.50";"Subgroup";"Paper & pulp mill machinery"
"107251";"10.72.51";"Subgroup";"Cellulose Pulp Making Machines"
"107252";"10.72.52";"Subgroup";"Paper Making Machines"
"107259";"10.72.59";"Subgroup";"Paper Making Machine Parts"
"10726";"10.72.6";"Group";"Printing, bookbinding machinery, and parts thereof, n.e.s."
"107260";"10.72.60";"Subgroup";"Printing, bookbinding machinery, and parts thereof, nes"
"107263";"10.72.63";"Subgroup";"Type Setting Machines"
"107264";"10.72.64";"Subgroup";"Printing Presses"
"107267";"10.72.67";"Subgroup";"Miscellaneous Printing Machines"
